등록일시,대여건수
2021-07-01,"138,855"
2021-07-02,"137,755"
2021-07-03,"51,624"
2021-07-04,"34,280"
2021-07-05,"137,012"
2021-07-06,"141,676"
2021-07-07,"120,685"
2021-07-08,"120,509"
2021-07-09,"133,467"
2021-07-10,"108,159"
2021-07-11,"83,832"
2021-07-12,"127,772"
2021-07-13,"127,633"
2021-07-14,"122,931"
2021-07-15,"103,482"
2021-07-16,"104,228"
2021-07-17,"104,910"
2021-07-18,"93,806"
2021-07-19,"95,132"
2021-07-20,"120,043"
2021-07-21,"117,569"
2021-07-22,"114,672"
2021-07-23,"113,117"
2021-07-24,"91,773"
2021-07-25,"80,957"
2021-07-26,"113,912"
2021-07-27,"113,813"
2021-07-28,"108,399"
2021-07-29,"111,818"
2021-07-30,"113,329"
2021-07-31,"90,356"
2021-08-01,"41,845"
2021-08-02,"99,544"
2021-08-03,"117,242"
2021-08-04,"117,405"
2021-08-05,"118,205"
2021-08-06,"117,103"
2021-08-07,"109,849"
2021-08-08,"74,145"
2021-08-09,"126,850"
2021-08-10,"130,505"
2021-08-11,"126,807"
2021-08-12,"105,295"
2021-08-13,"133,625"
2021-08-14,"126,122"
2021-08-15,"117,873"
2021-08-16,"114,058"
2021-08-17,"82,028"
2021-08-18,"118,076"
2021-08-19,"143,490"
2021-08-20,"137,294"
2021-08-21,"40,149"
2021-08-22,"119,042"
2021-08-23,"46,686"
2021-08-24,"40,740"
2021-08-25,"119,576"
2021-08-26,"120,865"
2021-08-27,"84,328"
2021-08-28,"132,238"
2021-08-29,"119,703"
2021-08-30,"140,368"
2021-08-31,"24,918"
2021-09-01,"120,894"
2021-09-02,"138,015"
2021-09-03,"152,417"
2021-09-04,"147,188"
2021-09-05,"137,477"
2021-09-06,"73,466"
2021-09-07,"14,591"
2021-09-08,"138,853"
2021-09-09,"144,735"
2021-09-10,"140,589"
2021-09-11,"135,402"
2021-09-12,"127,028"
2021-09-13,"141,744"
2021-09-14,"143,589"
2021-09-15,"145,669"
2021-09-16,"145,375"
2021-09-17,"149,248"
2021-09-18,"128,566"
2021-09-19,"112,630"
2021-09-20,"104,603"
2021-09-21,"77,695"
2021-09-22,"116,915"
2021-09-23,"145,809"
2021-09-24,"151,973"
2021-09-25,"143,617"
2021-09-26,"139,182"
2021-09-27,"126,623"
2021-09-28,"89,055"
2021-09-29,"57,781"
2021-09-30,"145,928"
2021-10-01,"138,491"
2021-10-02,"136,182"
2021-10-03,"135,425"
2021-10-04,"75,930"
2021-10-05,"119,181"
2021-10-06,"79,697"
2021-10-07,"116,818"
2021-10-08,"70,341"
2021-10-09,"122,751"
2021-10-10,"36,212"
2021-10-11,"122,066"
2021-10-12,"136,913"
2021-10-13,"146,363"
2021-10-14,"145,060"
2021-10-15,"128,018"
2021-10-16,"83,290"
2021-10-17,"69,495"
2021-10-18,"89,456"
2021-10-19,"105,129"
2021-10-20,"116,327"
2021-10-21,"116,401"
2021-10-22,"121,592"
2021-10-23,"107,272"
2021-10-24,"99,056"
2021-10-25,"116,265"
2021-10-26,"125,167"
2021-10-27,"123,048"
2021-10-28,"126,416"
2021-10-29,"129,282"
2021-10-30,"111,853"
