iter	RMSE
0	16865.6849
1	16248.23389
2	15661.89207
3	15082.78461
4	14568.66948
5	14037.87436
6	13569.25348
7	13079.60699
8	12607.58478
9	12148.35776
10	11736.89866
11	11326.8074
12	10935.35972
13	10601.19067
14	10238.1612
15	9896.610733
16	9554.102942
17	9251.428594
18	8941.415925
19	8657.431693
20	8385.17602
21	8144.733068
22	7888.230194
23	7641.733466
24	7404.572247
25	7191.14631
26	6983.611224
27	6778.973043
28	6584.080258
29	6398.518773
30	6226.401266
31	6051.58857
32	5901.131156
33	5764.879601
34	5628.745228
35	5491.229998
36	5370.830097
37	5246.758139
38	5125.256122
39	5007.473307
40	4895.876379
41	4792.698752
42	4695.198091
43	4600.41588
44	4520.45993
45	4453.28006
46	4374.489131
47	4304.579694
48	4234.148853
49	4168.427692
50	4106.842042
51	4044.897143
52	3987.179705
53	3932.551656
54	3885.081362
55	3834.413962
56	3791.816045
57	3753.253719
58	3718.731718
59	3679.926284
60	3644.505827
61	3615.769553
62	3582.693453
63	3551.300748
64	3524.758549
65	3497.939343
66	3475.82049
67	3451.472858
68	3425.979432
69	3403.794696
70	3380.223596
71	3361.646295
72	3342.440702
73	3323.063061
74	3310.628909
75	3294.63888
76	3280.639308
77	3267.854475
78	3254.194705
79	3240.890779
80	3229.518609
81	3218.049068
82	3207.195554
83	3197.976548
84	3190.022089
85	3180.875344
86	3172.771116
87	3162.746948
88	3154.963248
89	3142.073111
90	3134.249534
91	3126.710997
92	3121.288738
93	3114.096591
94	3107.963938
95	3103.588474
96	3097.765064
97	3091.257681
98	3086.711929
99	3084.140858
100	3079.269294
101	3074.855925
102	3070.711549
103	3066.407298
104	3062.904984
105	3059.962853
106	3058.429
107	3055.211801
108	3053.389503
109	3049.08039
110	3046.607709
111	3045.196446
112	3041.593985
113	3039.497717
114	3036.845772
115	3034.967748
116	3033.603297
117	3032.475751
118	3030.786768
119	3029.851861
120	3025.640298
121	3023.423259
122	3020.035975
123	3017.12858
124	3012.87749
125	3011.542339
126	3010.772574
127	3008.66931
128	3007.548192
129	3006.809743
130	3004.570889
131	3003.867744
132	3000.953807
133	2998.424017
134	2995.006438
135	2993.042869
136	2991.771764
137	2989.314009
138	2983.378807
139	2981.875084
140	2978.950711
141	2976.620246
142	2974.650619
143	2973.059593
144	2971.660816
145	2970.79227
146	2969.650785
147	2967.947288
148	2966.916796
149	2966.667262
150	2965.445236
151	2965.28491
152	2963.546583
153	2960.164487
154	2952.663553
155	2951.111666
156	2949.212327
157	2947.502071
158	2946.415256
159	2944.534234
160	2942.514265
161	2941.324272
162	2939.928583
163	2938.471346
164	2936.132942
165	2933.795747
166	2931.949244
167	2930.285379
168	2929.394976
169	2927.724073
170	2926.790961
171	2924.965963
172	2923.372455
173	2921.879554
174	2920.557004
175	2919.39602
176	2916.539346
177	2915.188444
178	2913.062126
179	2911.236476
180	2909.487819
181	2907.815094
182	2906.110074
183	2904.461286
184	2903.7371
185	2902.450845
186	2901.813793
187	2900.940584
188	2899.551955
189	2897.699593
190	2896.477381
191	2895.56805
192	2893.683613
193	2892.271265
194	2889.641836
195	2888.549139
196	2887.536276
197	2885.554266
198	2884.865182
199	2883.485503
200	2882.07258
201	2881.214427
202	2875.087256
203	2874.00851
204	2872.638429
205	2871.43273
206	2870.137377
207	2868.895879
